user_id,item_id,label,user_baskets_count,user_avg_basket_size,user_days_since_last_basket,item_global_count,item_global_rank_pct,item_global_count_before_target,item_global_days_since_last_purchase,item_global_count_last_30d,item_global_count_last_90d,item_global_recent_share_90d,item_global_recency_over_mean_gap,item_global_is_stale_90d,ui_count_total,ui_repeat_rate,ui_in_last_basket,ui_count_last_3,ui_count_last_5,ui_days_since_last_purchase,ui_mean_gap_days,ui_recency_over_gap,ui_gap_std_days,ui_last_gap_days,ui_days_since_last_purchase_minus_mean_gap,ui_abs_recency_minus_mean_gap,ui_count_last_30d,ui_count_last_60d,ui_cooc_last_basket_sum,ui_cooc_last_basket_max,query_id,target_ts,raw_score,shap_bias
2257,4149,0,1147,3.7820401046207497,1.7347222222222223,424,0.9156542867060049,424,2.8555555555555556,28,72,0.16981132075471697,1.7761159647336997,0,1,0.0008718395815170009,0,0,0,330.1069444444444,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1124,1971-12-11 12:29:00,-2.721757470820684,-2.074993014647726
1275,1816,1,46,10.173913043478262,29.06875,650,0.9566122874002083,648,0.11805555555555555,21,89,0.13734567901234568,0.1098885387531885,0,2,0.043478260869565216,0,2,2,45.09444444444444,7.979166666666667,5.6515230635335065,0.0,7.979166666666667,37.11527777777778,37.11527777777778,0,2,6.0,2.0,637,1971-12-08 14:25:00,0.9204151399999437,-2.074993014647726
2158,1442,0,66,9.515151515151516,7.69375,384,0.9025801226426009,384,7.697222222222222,10,14,0.036458333333333336,4.241641496210888,0,1,0.015151515151515152,0,0,0,511.6763888888889,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4.0,1.0,1074,1971-12-13 11:46:00,-2.574946450182516,-2.074993014647726
1497,2108,1,136,10.227941176470589,1.9548611111111112,199,0.7423348374407035,198,2.0097222222222224,15,27,0.13636363636363635,0.5736935844826229,0,6,0.04411764705882353,0,0,0,27.250694444444445,51.52708333333332,0.5288615749538405,13.541410852284569,66.73680555555555,-24.276388888888878,24.276388888888878,1,1,2.0,1.0,740,1971-12-06 17:08:00,0.0629055834508257,-2.074993014647726
1536,2842,0,158,9.734177215189874,3.8,531,0.9387944000925604,531,10.154861111111112,14,61,0.11487758945386065,7.870417701468333,0,1,0.006329113924050633,0,0,0,615.9416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,758,1971-12-12 19:28:00,-2.8981848832310377,-2.074993014647726
648,922,0,25,21.4,8.129861111111111,810,0.9691079486289483,789,0.7819444444444444,47,137,0.17363751584283904,0.9004930713505318,0,1,0.04,0,0,0,650.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,313,1971-11-22 16:53:00,-1.5325942751435304,-2.074993014647726
737,4382,0,84,7.988095238095238,5.959027777777778,205,0.7520536850630568,205,5.993055555555555,2,11,0.05365853658536585,1.824320477810063,0,1,0.011904761904761904,0,0,0,332.8979166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,363,1971-12-06 19:05:00,-2.5866043787843895,-2.074993014647726
2227,783,1,103,20.02912621359223,5.184722222222222,480,0.9280342473678121,480,1.2083333333333333,14,50,0.10416666666666667,0.8318029980647828,0,18,0.17475728155339806,0,1,1,12.249305555555555,18.000040849673198,0.6805154309290331,18.53320376201287,14.01736111111111,-5.750735294117643,5.750735294117643,2,3,11.0,11.0,1109,1971-12-03 21:13:00,1.7011053465265493,-2.074993014647726
2150,188,0,64,10.21875,7.1090277777777775,2021,0.99166955918084,1967,0.024305555555555556,111,286,0.14539908490086426,0.06894472769326497,0,0,0.0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1071,1971-11-27 15:41:00,-2.0273448479231937,-2.074993014647726
146,655,0,257,2.455252918287938,1.9631944444444445,1995,0.9913224574800417,1933,0.35555555555555557,60,154,0.07966890843248836,1.0157646259435396,0,1,0.0038910505836575876,0,0,0,536.9979166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,87,1971-11-13 06:59:00,-2.728729197716859,-2.074993014647726
